pypsa_comp;component;prime_mover_type;fuel;pq_max;pq_nom
OCGT;ThermalStandard;GT;NATURAL_GAS;0.9;0
biomass;ThermalStandard;ST;AG_BIPRODUCT;0.9;0
onwind;RenewableDispatch;WT;;0.9;0
ror;HydroDispatch;HY;;0.9;0
solar;RenewableDispatch;PVe;;0.9;0
CCGT;ThermalStandard;CT;NATURAL_GAS;0.9;0
lignite;ThermalStandard;ST;WASTE_COAL;0.9;0
offwind-ac;RenewableDispatch;WS;;0.9;0
coal;ThermalStandard;ST;WASTE_COAL;0.9;0
oil;ThermalStandard;ST;DISTILLATE_FUEL_OIL;0.9;0
nuclear;ThermalStandard;ST;NUCLEAR;0.9;0
offwind-dc;RenewableDispatch;WS;;0.9;0
solar-csp;RenewableDispatch;ST;;0.9;0
PHS;HydroPumpedStorage;PS;;0.9;0
hydro;HydroEnergyReservoir;HY;;0.9;0
geothermal;ThermalStandard;ST;GEOTHERMAL;0.9;0
H2;EnergyReservoirStorage;BA;;0.9;0
battery;EnergyReservoirStorage;BA;;0.9;0
